;V1;V2;Done;Notes
852;TUN;MGENG-0184;;
853;URY;MGENG-0184;;
854;ARE;MGENG-0185;;
855;AUS;MGENG-0185;;
856;BHR;MGENG-0185;;
857;BHS;MGENG-0185;;
858;CAN;MGENG-0185;;
859;CHE;MGENG-0185;;
860;CIV;MGENG-0185;;
861;DNK;MGENG-0185;;
862;DZA;MGENG-0185;;
863;FIN;MGENG-0185;;
864;GBR;MGENG-0185;;
865;GRC;MGENG-0185;;
866;ITA;MGENG-0185;;
867;JOR;MGENG-0185;;
868;LBN;MGENG-0185;;
869;LBR;MGENG-0185;;
870;MLT;MGENG-0185;;
871;NOR;MGENG-0185;;
872;PHL;MGENG-0185;;
873;RUS;MGENG-0185;;
874;SAU;MGENG-0185;;
875;SRB;MGENG-0185;;
876;SWE;MGENG-0185;;
877;SYR;MGENG-0185;;
878;TUN;MGENG-0185;;
879;URY;MGENG-0185;;
880;ARG;MGENG-0186;;
881;BEL;MGENG-0186;;
882;BGR;MGENG-0186;;
883;DEU;MGENG-0186;;
884;DMA;MGENG-0186;;
885;DNK;MGENG-0186;;
886;ESP;MGENG-0186;;
887;FIN;MGENG-0186;;
888;FRA;MGENG-0186;;
889;GAB;MGENG-0186;;
890;ITA;MGENG-0186;;
891;LBR;MGENG-0186;;
892;LVA;MGENG-0186;;
893;NLD;MGENG-0186;;
894;NOR;MGENG-0186;;
895;SWE;MGENG-0186;;
896;YEM;MGENG-0186;;
897;MLI;MGENG-0191;;
898;MRT;MGENG-0191;;
899;SEN;MGENG-0191;;
900;MLI;MGENG-0192;;
901;MRT;MGENG-0192;;
902;SEN;MGENG-0192;;
903;NZL;MGENG-0195;;
904;NZL;MGENG-0199;;
905;AFG;MGENG-0203;;
906;ARE;MGENG-0203;;
907;ARG;MGENG-0203;;
908;ATG;MGENG-0203;;
909;AUS;MGENG-0203;;
910;AZE;MGENG-0203;;
911;BEL;MGENG-0203;;
912;BEN;MGENG-0203;;
913;BGR;MGENG-0203;;
914;BLR;MGENG-0203;;
915;BOL;MGENG-0203;;
916;BRA;MGENG-0203;;
917;BRB;MGENG-0203;;
918;CAN;MGENG-0203;;
919;CHE;MGENG-0203;;
920;CHL;MGENG-0203;;
921;CHN;MGENG-0203;;
922;CIV;MGENG-0203;;
923;COD;MGENG-0203;;
924;CPV;MGENG-0203;;
925;CRI;MGENG-0203;;
926;CUB;MGENG-0203;;
927;CYP;MGENG-0203;;
928;DEU;MGENG-0203;;
929;DNK;MGENG-0203;;
930;DOM;MGENG-0203;;
931;EGY;MGENG-0203;;
932;ESP;MGENG-0203;;
933;FIN;MGENG-0203;;
934;FRA;MGENG-0203;;
935;GAB;MGENG-0203;;
936;GBR;MGENG-0203;;
937;GNQ;MGENG-0203;;
938;GRC;MGENG-0203;;
939;GTM;MGENG-0203;;
940;HND;MGENG-0203;;
941;HRV;MGENG-0203;;
942;HTI;MGENG-0203;;
943;HUN;MGENG-0203;;
944;IRL;MGENG-0203;;
945;IRN;MGENG-0203;;
946;ISL;MGENG-0203;;
947;ITA;MGENG-0203;;
948;JAM;MGENG-0203;;
949;JOR;MGENG-0203;;
950;JPN;MGENG-0203;;
951;KEN;MGENG-0203;;
952;KIR;MGENG-0203;;
953;KOR;MGENG-0203;;
954;LBY;MGENG-0203;;
955;LCA;MGENG-0203;;
956;LUX;MGENG-0203;;
957;MAR;MGENG-0203;;
958;MCO;MGENG-0203;;
959;MEX;MGENG-0203;;
960;MLT;MGENG-0203;;
961;MNE;MGENG-0203;;
962;NGA;MGENG-0203;;
963;NLD;MGENG-0203;;
964;NOR;MGENG-0203;;
965;NRU;MGENG-0203;;
966;NZL;MGENG-0203;;
967;OMN;MGENG-0203;;
968;PAK;MGENG-0203;;
969;PAN;MGENG-0203;;
970;PER;MGENG-0203;;
971;PHL;MGENG-0203;;
972;PNG;MGENG-0203;;
973;POL;MGENG-0203;;
974;PRT;MGENG-0203;;
975;RUS;MGENG-0203;;
976;SLB;MGENG-0203;;
977;SLE;MGENG-0203;;
978;SRB;MGENG-0203;;
979;SUR;MGENG-0203;;
980;SVN;MGENG-0203;;
981;SWE;MGENG-0203;;
982;SYC;MGENG-0203;;
983;SYR;MGENG-0203;;
984;TON;MGENG-0203;;
985;TUN;MGENG-0203;;
986;TZA;MGENG-0203;;
987;UKR;MGENG-0203;;
988;USA;MGENG-0203;;
989;VCT;MGENG-0203;;
990;VUT;MGENG-0203;;
991;ZAF;MGENG-0203;;
992;DEU;MGENG-0209;;
993;DNK;MGENG-0209;;
994;EST;MGENG-0209;;
995;EUU;MGENG-0209;;
996;FIN;MGENG-0209;;
997;LTU;MGENG-0209;;
998;LVA;MGENG-0209;;
999;POL;MGENG-0209;;
1000;RUS;MGENG-0209;;
1001;SWE;MGENG-0209;;
1002;DEU;MGENG-0210;;
1003;RUS;MGENG-0210;;
1004;ATG;MGENG-0213;;
1005;AUS;MGENG-0213;;
1006;BEL;MGENG-0213;;
1007;BEN;MGENG-0213;;
1008;BGR;MGENG-0213;;
1009;BRA;MGENG-0213;;
1010;BRN;MGENG-0213;;
1011;COG;MGENG-0213;;
1012;COL;MGENG-0213;;
1013;COM;MGENG-0213;;
1014;DEU;MGENG-0213;;
1015;DNK;MGENG-0213;;
1016;ESP;MGENG-0213;;
1017;FRA;MGENG-0213;;
1018;GBR;MGENG-0213;;
1019;GEO;MGENG-0213;;
1020;GIN;MGENG-0213;;
1021;HUN;MGENG-0213;;
1022;IRL;MGENG-0213;;
1023;ITA;MGENG-0213;;
1024;JOR;MGENG-0213;;
1025;KEN;MGENG-0213;;
1026;MAR;MGENG-0213;;
1027;MEX;MGENG-0213;;
1028;MNG;MGENG-0213;;
1029;MWI;MGENG-0213;;
1030;NLD;MGENG-0213;;
1031;NOR;MGENG-0213;;
1032;PER;MGENG-0213;;
1033;POL;MGENG-0213;;
1034;RUS;MGENG-0213;;
1035;SEN;MGENG-0213;;
1036;SWE;MGENG-0213;;
1037;TON;MGENG-0213;;
1038;TUN;MGENG-0213;;
1039;URY;MGENG-0213;;
1040;USA;MGENG-0213;;
1041;VNM;MGENG-0213;;
1042;YEM;MGENG-0213;;
1043;DEU;MGENG-0218;;
1044;EST;MGENG-0218;;
1045;EUU;MGENG-0218;;
1046;LTU;MGENG-0218;;
1047;LVA;MGENG-0218;;
1048;DEU;MGENG-0219;;
1049;NZL;MGENG-0220;;
1050;DEU;MGENG-0221;;
1051;ALB;MGENG-0228;;
1052;BIH;MGENG-0228;;
1053;DZA;MGENG-0228;;
1054;EGY;MGENG-0228;;
1055;EUU;MGENG-0228;;
1056;FRA;MGENG-0228;;
1057;HRV;MGENG-0228;;
1058;LBN;MGENG-0228;;
1059;SVN;MGENG-0228;;
1060;SYR;MGENG-0228;;
1061;ALB;MGENG-0230;;
1062;BIH;MGENG-0230;;
1063;DZA;MGENG-0230;;
1064;EGY;MGENG-0230;;
1065;EUU;MGENG-0230;;
1066;FRA;MGENG-0230;;
1067;HRV;MGENG-0230;;
1068;LBN;MGENG-0230;;
1069;SVN;MGENG-0230;;
1070;SYR;MGENG-0230;;
1071;NZL;MGENG-0237;;
1072;AUS;MGENG-0238;;
1073;BEL;MGENG-0238;;
1074;BHR;MGENG-0238;;
1075;BHS;MGENG-0238;;
1076;BRB;MGENG-0238;;
1077;CAN;MGENG-0238;;
1078;CHN;MGENG-0238;;
1079;COL;MGENG-0238;;
1080;CYP;MGENG-0238;;
1081;DNK;MGENG-0238;;
1082;ESP;MGENG-0238;;
1083;FIN;MGENG-0238;;
1084;FRA;MGENG-0238;;
1085;GRC;MGENG-0238;;
1086;IND;MGENG-0238;;
1087;IRL;MGENG-0238;;
1088;ISL;MGENG-0238;;
1089;ITA;MGENG-0238;;
1090;JPN;MGENG-0238;;
1091;LBR;MGENG-0238;;
1092;MAR;MGENG-0238;;
1093;MEX;MGENG-0238;;
1094;MHL;MGENG-0238;;
1095;MLT;MGENG-0238;;
1096;MUS;MGENG-0238;;
1097;NLD;MGENG-0238;;
1098;NOR;MGENG-0238;;
1099;POL;MGENG-0238;;
1100;PRT;MGENG-0238;;
1101;RUS;MGENG-0238;;
1102;VEN;MGENG-0238;;
1103;VUT;MGENG-0238;;
1104;ALB;MGENG-0239;;
1105;ARE;MGENG-0239;;
1106;ATG;MGENG-0239;;
1107;AUS;MGENG-0239;;
1108;AZE;MGENG-0239;;
1109;BEL;MGENG-0239;;
1110;BHR;MGENG-0239;;
1111;BHS;MGENG-0239;;
1112;BLZ;MGENG-0239;;
1113;BRB;MGENG-0239;;
1114;BRN;MGENG-0239;;
1115;CAN;MGENG-0239;;
1116;CHE;MGENG-0239;;
1117;CHN;MGENG-0239;;
1118;CMR;MGENG-0239;;
1119;COL;MGENG-0239;;
1120;CRI;MGENG-0239;;
1121;CYP;MGENG-0239;;
1122;DEU;MGENG-0239;;
1123;DNK;MGENG-0239;;
1124;EGY;MGENG-0239;;
1125;ESP;MGENG-0239;;
1126;FIN;MGENG-0239;;
1127;FRA;MGENG-0239;;
1128;GBR;MGENG-0239;;
1129;GEO;MGENG-0239;;
1130;GRC;MGENG-0239;;
1131;IND;MGENG-0239;;
1132;IRL;MGENG-0239;;
1133;ISL;MGENG-0239;;
1134;ITA;MGENG-0239;;
1135;JPN;MGENG-0239;;
1136;KHM;MGENG-0239;;
1137;KOR;MGENG-0239;;
1138;KWT;MGENG-0239;;
1139;LBR;MGENG-0239;;
1140;LUX;MGENG-0239;;
1141;MDV;MGENG-0239;;
1142;MEX;MGENG-0239;;
1143;MHL;MGENG-0239;;
1144;MLT;MGENG-0239;;
1145;MRT;MGENG-0239;;
1146;MUS;MGENG-0239;;
1147;NIC;MGENG-0239;;
1148;NLD;MGENG-0239;;
1149;NOR;MGENG-0239;;
1150;OMN;MGENG-0239;;
1151;PER;MGENG-0239;;
1152;POL;MGENG-0239;;
1153;PRT;MGENG-0239;;
1154;QAT;MGENG-0239;;
1155;RUS;MGENG-0239;;
1156;SAU;MGENG-0239;;
1157;SGP;MGENG-0239;;
1158;SLV;MGENG-0239;;
1159;SWE;MGENG-0239;;
1160;VEN;MGENG-0239;;
1161;VUT;MGENG-0239;;
1162;YEM;MGENG-0239;;
1163;CHE;MGENG-0242;;
1164;DEU;MGENG-0242;;
1165;EUU;MGENG-0242;;
1166;FRA;MGENG-0242;;
1167;LUX;MGENG-0242;;
1168;NLD;MGENG-0242;;
1169;DEU;MGENG-0245;;
1170;GBR;MGENG-0245;;
1171;IRL;MGENG-0245;;
1172;NLD;MGENG-0245;;
1173;NOR;MGENG-0245;;
1174;SWE;MGENG-0245;;
1175;SVN;MGENG-0246;;
1176;BDI;MGENG-0247;;
1177;RWA;MGENG-0247;;
1178;TZA;MGENG-0247;;
1179;AGO;MGENG-0250;;
1180;ALB;MGENG-0250;;
1181;ARE;MGENG-0250;;
1182;ARG;MGENG-0250;;
1183;ATG;MGENG-0250;;
1184;AUS;MGENG-0250;;
1185;AUT;MGENG-0250;;
1186;AZE;MGENG-0250;;
1187;BEL;MGENG-0250;;
1188;BEN;MGENG-0250;;
1189;BGD;MGENG-0250;;
1190;BGR;MGENG-0250;;
1191;BHR;MGENG-0250;;
1192;BHS;MGENG-0250;;
1193;BLR;MGENG-0250;;
1194;BLZ;MGENG-0250;;
1195;BOL;MGENG-0250;;
1196;BRA;MGENG-0250;;
1197;BRB;MGENG-0250;;
1198;BRN;MGENG-0250;;
1199;CAN;MGENG-0250;;
1200;CHE;MGENG-0250;;
1201;CHL;MGENG-0250;;
1202;CHN;MGENG-0250;;
1203;CIV;MGENG-0250;;
1204;CMR;MGENG-0250;;
1205;COG;MGENG-0250;;
1206;COL;MGENG-0250;;
1207;COM;MGENG-0250;;
1208;CPV;MGENG-0250;;
1209;CUB;MGENG-0250;;
1210;CYP;MGENG-0250;;
1211;DEU;MGENG-0250;;
1212;DJI;MGENG-0250;;
1213;DMA;MGENG-0250;;
1214;DNK;MGENG-0250;;
1215;DOM;MGENG-0250;;
1216;DZA;MGENG-0250;;
1217;ECU;MGENG-0250;;
1218;EGY;MGENG-0250;;
1219;ESP;MGENG-0250;;
1220;EST;MGENG-0250;;
1221;FIN;MGENG-0250;;
1222;FRA;MGENG-0250;;
1223;GAB;MGENG-0250;;
1224;GBR;MGENG-0250;;
1225;GEO;MGENG-0250;;
1226;GHA;MGENG-0250;;
1227;GIN;MGENG-0250;;
1228;GMB;MGENG-0250;;
1229;GNQ;MGENG-0250;;
1230;GRC;MGENG-0250;;
1231;GTM;MGENG-0250;;
1232;GUY;MGENG-0250;;
1233;HND;MGENG-0250;;
1234;HUN;MGENG-0250;;
1235;IDN;MGENG-0250;;
1236;IND;MGENG-0250;;
1237;IRL;MGENG-0250;;
1238;IRN;MGENG-0250;;
1239;ISL;MGENG-0250;;
1240;ISR;MGENG-0250;;
1241;ITA;MGENG-0250;;
1242;JAM;MGENG-0250;;
1243;JOR;MGENG-0250;;
1244;JPN;MGENG-0250;;
1245;KAZ;MGENG-0250;;
1246;KEN;MGENG-0250;;
1247;KHM;MGENG-0250;;
1248;KIR;MGENG-0250;;
1249;KNA;MGENG-0250;;
1250;KOR;MGENG-0250;;
1251;KWT;MGENG-0250;;
1252;LBN;MGENG-0250;;
1253;LBR;MGENG-0250;;
1254;LBY;MGENG-0250;;
1255;LCA;MGENG-0250;;
1256;LKA;MGENG-0250;;
1257;LTU;MGENG-0250;;
1258;LUX;MGENG-0250;;
1259;LVA;MGENG-0250;;
1260;MAR;MGENG-0250;;
1261;MCO;MGENG-0250;;
1262;MDA;MGENG-0250;;
1263;MDG;MGENG-0250;;
1264;MDV;MGENG-0250;;
1265;MEX;MGENG-0250;;
1266;MHL;MGENG-0250;;
1267;MLT;MGENG-0250;;
1268;MMR;MGENG-0250;;
1269;MNG;MGENG-0250;;
1270;MOZ;MGENG-0250;;
1271;MRT;MGENG-0250;;
1272;MUS;MGENG-0250;;
1273;MWI;MGENG-0250;;
1274;MYS;MGENG-0250;;
1275;NAM;MGENG-0250;;
1276;NGA;MGENG-0250;;
1277;NIC;MGENG-0250;;
1278;NIU;MGENG-0250;;
1279;NLD;MGENG-0250;;
1280;NOR;MGENG-0250;;
1281;NZL;MGENG-0250;;
1282;OMN;MGENG-0250;;
1283;PAK;MGENG-0250;;
1284;PAN;MGENG-0250;;
1285;PER;MGENG-0250;;
1286;PHL;MGENG-0250;;
1287;PLW;MGENG-0250;;
1288;PNG;MGENG-0250;;
1289;POL;MGENG-0250;;
1290;PRK;MGENG-0250;;
1291;PRT;MGENG-0250;;
1292;QAT;MGENG-0250;;
1293;ROU;MGENG-0250;;
1294;RUS;MGENG-0250;;
1295;SAU;MGENG-0250;;
1296;SEN;MGENG-0250;;
1297;SGP;MGENG-0250;;
1298;SLB;MGENG-0250;;
1299;SLE;MGENG-0250;;
1300;SLV;MGENG-0250;;
1301;STP;MGENG-0250;;
1302;SUR;MGENG-0250;;
1303;SWE;MGENG-0250;;
1304;SYC;MGENG-0250;;
1305;SYR;MGENG-0250;;
1306;TGO;MGENG-0250;;
1307;THA;MGENG-0250;;
1308;TKM;MGENG-0250;;
1309;TON;MGENG-0250;;
1310;TTO;MGENG-0250;;
1311;TUN;MGENG-0250;;
1312;TUR;MGENG-0250;;
1313;TUV;MGENG-0250;;
1314;TZA;MGENG-0250;;
1315;UKR;MGENG-0250;;
1316;URY;MGENG-0250;;
1317;USA;MGENG-0250;;
1318;VCT;MGENG-0250;;
1319;VEN;MGENG-0250;;
1320;VNM;MGENG-0250;;
1321;VUT;MGENG-0250;;
1322;WSM;MGENG-0250;;
1323;ZAF;MGENG-0250;;
1324;DEU;MGENG-0252;;
1325;AGO;MGENG-0253;;
1326;ALB;MGENG-0253;;
1327;ARE;MGENG-0253;;
1328;ARG;MGENG-0253;;
1329;ATG;MGENG-0253;;
1330;AUS;MGENG-0253;;
1331;AUT;MGENG-0253;;
1332;AZE;MGENG-0253;;
1333;BEL;MGENG-0253;;
1334;BEN;MGENG-0253;;
1335;BGD;MGENG-0253;;
1336;BGR;MGENG-0253;;
1337;BLR;MGENG-0253;;
1338;BLZ;MGENG-0253;;
1339;BOL;MGENG-0253;;
1340;BRA;MGENG-0253;;
1341;BRB;MGENG-0253;;
1342;CAN;MGENG-0253;;
1343;CHE;MGENG-0253;;
1344;CHL;MGENG-0253;;
1345;CHN;MGENG-0253;;
1346;CIV;MGENG-0253;;
1347;CMR;MGENG-0253;;
1348;COG;MGENG-0253;;
1349;COL;MGENG-0253;;
1350;COM;MGENG-0253;;
1351;CPV;MGENG-0253;;
1352;CYP;MGENG-0253;;
1353;DEU;MGENG-0253;;
1354;DNK;MGENG-0253;;
1355;DOM;MGENG-0253;;
1356;DZA;MGENG-0253;;
1357;ECU;MGENG-0253;;
1358;EGY;MGENG-0253;;
1359;ESP;MGENG-0253;;
1360;EST;MGENG-0253;;
1361;FIN;MGENG-0253;;
1362;FRA;MGENG-0253;;
1363;GAB;MGENG-0253;;
1364;GBR;MGENG-0253;;
1365;GEO;MGENG-0253;;
1366;GHA;MGENG-0253;;
1367;GIN;MGENG-0253;;
1368;GMB;MGENG-0253;;
1369;GNQ;MGENG-0253;;
1370;GRC;MGENG-0253;;
1371;GTM;MGENG-0253;;
1372;GUY;MGENG-0253;;
1373;HUN;MGENG-0253;;
1374;IDN;MGENG-0253;;
1375;IND;MGENG-0253;;
1376;IRL;MGENG-0253;;
1377;IRN;MGENG-0253;;
1378;ITA;MGENG-0253;;
1379;JAM;MGENG-0253;;
1380;JOR;MGENG-0253;;
1381;JPN;MGENG-0253;;
1382;KAZ;MGENG-0253;;
1383;KEN;MGENG-0253;;
1384;KHM;MGENG-0253;;
1385;KIR;MGENG-0253;;
1386;KNA;MGENG-0253;;
1387;KOR;MGENG-0253;;
1388;KWT;MGENG-0253;;
1389;LBN;MGENG-0253;;
1390;LBR;MGENG-0253;;
1391;LBY;MGENG-0253;;
1392;LCA;MGENG-0253;;
1393;LKA;MGENG-0253;;
1394;LTU;MGENG-0253;;
1395;LUX;MGENG-0253;;
1396;LVA;MGENG-0253;;
1397;MAR;MGENG-0253;;
1398;MCO;MGENG-0253;;
1399;MDA;MGENG-0253;;
1400;MDG;MGENG-0253;;
1401;MHL;MGENG-0253;;
1402;MLT;MGENG-0253;;
1403;MNE;MGENG-0253;;
1404;MNG;MGENG-0253;;
1405;MOZ;MGENG-0253;;
1406;MRT;MGENG-0253;;
1407;MUS;MGENG-0253;;
1408;MWI;MGENG-0253;;
1409;MYS;MGENG-0253;;
1410;NGA;MGENG-0253;;
1411;NIC;MGENG-0253;;
1412;NIU;MGENG-0253;;
1413;NLD;MGENG-0253;;
1414;NOR;MGENG-0253;;
1415;OMN;MGENG-0253;;
1416;PAK;MGENG-0253;;
1417;PAN;MGENG-0253;;
1418;PER;MGENG-0253;;
1419;PHL;MGENG-0253;;
1420;PLW;MGENG-0253;;
1421;PNG;MGENG-0253;;
1422;POL;MGENG-0253;;
1423;PRK;MGENG-0253;;
1424;PRT;MGENG-0253;;
1425;QAT;MGENG-0253;;
1426;ROU;MGENG-0253;;
1427;RUS;MGENG-0253;;
1428;SAU;MGENG-0253;;
1429;SEN;MGENG-0253;;
1430;SGP;MGENG-0253;;
1431;SLB;MGENG-0253;;
1432;SLE;MGENG-0253;;
1433;SLV;MGENG-0253;;
1434;SRB;MGENG-0253;;
1435;STP;MGENG-0253;;
1436;SUR;MGENG-0253;;
1437;SWE;MGENG-0253;;
1438;SYR;MGENG-0253;;
1439;TGO;MGENG-0253;;
1440;TKM;MGENG-0253;;
1441;TON;MGENG-0253;;
1442;TTO;MGENG-0253;;
1443;TUN;MGENG-0253;;
1444;TUR;MGENG-0253;;
1445;TUV;MGENG-0253;;
1446;TZA;MGENG-0253;;
1447;UKR;MGENG-0253;;
1448;URY;MGENG-0253;;
1449;VCT;MGENG-0253;;
1450;VEN;MGENG-0253;;
1451;VUT;MGENG-0253;;
1452;WSM;MGENG-0253;;
1453;DEU;MGENG-0254;;
1454;DEU;MGENG-0256;;
1455;ARE;MGENG-0258;;
1456;BHR;MGENG-0258;;
1457;IRN;MGENG-0258;;
1458;IRQ;MGENG-0258;;
1459;KWT;MGENG-0258;;
1460;OMN;MGENG-0258;;
1461;QAT;MGENG-0258;;
1462;SAU;MGENG-0258;;
1463;ARE;MGENG-0259;;
1464;BHR;MGENG-0259;;
1465;IRN;MGENG-0259;;
1466;IRQ;MGENG-0259;;
1467;KWT;MGENG-0259;;
1468;OMN;MGENG-0259;;
1469;QAT;MGENG-0259;;
1470;SAU;MGENG-0259;;
1471;DEU;MGENG-0265;;
1472;RUS;MGENG-0265;;
1473;BGR;MGENG-0268;;
1474;DEU;MGENG-0268;;
1475;DNK;MGENG-0268;;
1476;ESP;MGENG-0268;;
1477;EST;MGENG-0268;;
1478;EUU;MGENG-0268;;
1479;FRA;MGENG-0268;;
1480;JPN;MGENG-0268;;
1481;KOR;MGENG-0268;;
1482;LTU;MGENG-0268;;
1483;LVA;MGENG-0268;;
1484;POL;MGENG-0268;;
1485;PRT;MGENG-0268;;
1486;ROU;MGENG-0268;;
1487;RUS;MGENG-0268;;
1488;UKR;MGENG-0268;;
1489;USA;MGENG-0268;;
1490;MLI;MGENG-0270;;
1491;MRT;MGENG-0270;;
1492;SEN;MGENG-0270;;
1493;MLI;MGENG-0271;;
1494;MRT;MGENG-0271;;
1495;SEN;MGENG-0271;;
1496;NZL;MGENG-0274;;
1497;AUS;MGENG-0276;;
1498;FJI;MGENG-0276;;
1499;KIR;MGENG-0276;;
1500;MHL;MGENG-0276;;
1501;NIU;MGENG-0276;;
1502;NRU;MGENG-0276;;
1503;NZL;MGENG-0276;;
1504;PLW;MGENG-0276;;
1505;PNG;MGENG-0276;;
1506;SLB;MGENG-0276;;
1507;TON;MGENG-0276;;
1508;TUV;MGENG-0276;;
1509;VUT;MGENG-0276;;
1510;WSM;MGENG-0276;;
1511;AFG;MGENG-0281;;
1512;ALB;MGENG-0281;;
1513;AND;MGENG-0281;;
1514;ARE;MGENG-0281;;
1515;ARM;MGENG-0281;;
1516;ATG;MGENG-0281;;
1517;AZE;MGENG-0281;;
1518;BFA;MGENG-0281;;
1519;BGD;MGENG-0281;;
1520;BGR;MGENG-0281;;
1521;BHR;MGENG-0281;;
1522;BHS;MGENG-0281;;
1523;BOL;MGENG-0281;;
1524;BWA;MGENG-0281;;
1525;CAF;MGENG-0281;;
1526;CHL;MGENG-0281;;
1527;CHN;MGENG-0281;;
1528;CIV;MGENG-0281;;
1529;CMR;MGENG-0281;;
1530;COD;MGENG-0281;;
1531;COL;MGENG-0281;;
1532;COM;MGENG-0281;;
1533;CPV;MGENG-0281;;
1534;CRI;MGENG-0281;;
1535;CUB;MGENG-0281;;
1536;CYP;MGENG-0281;;
1537;DJI;MGENG-0281;;
1538;DMA;MGENG-0281;;
1539;DZA;MGENG-0281;;
1540;EST;MGENG-0281;;
1541;FIN;MGENG-0281;;
1542;FJI;MGENG-0281;;
1543;FRA;MGENG-0281;;
1544;GAB;MGENG-0281;;
1545;GEO;MGENG-0281;;
1546;GHA;MGENG-0281;;
1547;GIN;MGENG-0281;;
1548;GNB;MGENG-0281;;
1549;GNQ;MGENG-0281;;
1550;GRD;MGENG-0281;;
1551;GUY;MGENG-0281;;
1552;HND;MGENG-0281;;
1553;HTI;MGENG-0281;;
1554;HUN;MGENG-0281;;
1555;IND;MGENG-0281;;
1556;IRQ;MGENG-0281;;
1557;ISL;MGENG-0281;;
1558;JAM;MGENG-0281;;
1559;JOR;MGENG-0281;;
1560;JPN;MGENG-0281;;
1561;KAZ;MGENG-0281;;
1562;KEN;MGENG-0281;;
1563;KHM;MGENG-0281;;
1564;KNA;MGENG-0281;;
1565;KWT;MGENG-0281;;
1566;LAO;MGENG-0281;;
1567;LBN;MGENG-0281;;
1568;LBY;MGENG-0281;;
1569;LCA;MGENG-0281;;
1570;LSO;MGENG-0281;;
1571;LTU;MGENG-0281;;
1572;LVA;MGENG-0281;;
1573;MCO;MGENG-0281;;
1574;MDA;MGENG-0281;;
1575;MDG;MGENG-0281;;
1576;MEX;MGENG-0281;;
1577;MHL;MGENG-0281;;
1578;MLI;MGENG-0281;;
1579;MLT;MGENG-0281;;
1580;MNG;MGENG-0281;;
1581;MOZ;MGENG-0281;;
1582;MRT;MGENG-0281;;
1583;MWI;MGENG-0281;;
1584;NAM;MGENG-0281;;
1585;NGA;MGENG-0281;;
1586;NIC;MGENG-0281;;
1587;NIU;MGENG-0281;;
1588;NLD;MGENG-0281;;
1589;NRU;MGENG-0281;;
1590;NZL;MGENG-0281;;
1591;OMN;MGENG-0281;;
1592;PAK;MGENG-0281;;
1593;PER;MGENG-0281;;
1594;PLW;MGENG-0281;;
1595;POL;MGENG-0281;;
1596;QAT;MGENG-0281;;
1597;RUS;MGENG-0281;;
1598;SAU;MGENG-0281;;
1599;SDN;MGENG-0281;;
1600;SEN;MGENG-0281;;
1601;SGP;MGENG-0281;;
1602;SLV;MGENG-0281;;
1603;SVN;MGENG-0281;;
1604;SWZ;MGENG-0281;;
1605;SYC;MGENG-0281;;
1606;TGO;MGENG-0281;;
1607;TJK;MGENG-0281;;
1608;TKM;MGENG-0281;;
1609;TON;MGENG-0281;;
1610;TTO;MGENG-0281;;
1611;TUN;MGENG-0281;;
1612;TZA;MGENG-0281;;
1613;UGA;MGENG-0281;;
1614;UKR;MGENG-0281;;
1615;URY;MGENG-0281;;
1616;UZB;MGENG-0281;;
1617;VNM;MGENG-0281;;
1618;YEM;MGENG-0281;;
1619;ALB;MGENG-0282;;
1620;ARM;MGENG-0282;;
1621;AZE;MGENG-0282;;
1622;BIH;MGENG-0282;;
1623;CYP;MGENG-0282;;
1624;CZE;MGENG-0282;;
1625;DEU;MGENG-0282;;
1626;DNK;MGENG-0282;;
1627;EST;MGENG-0282;;
1628;EUU;MGENG-0282;;
1629;FRA;MGENG-0282;;
1630;GEO;MGENG-0282;;
1631;HRV;MGENG-0282;;
1632;KAZ;MGENG-0282;;
1633;KGZ;MGENG-0282;;
1634;LTU;MGENG-0282;;
1635;LVA;MGENG-0282;;
1636;MCO;MGENG-0282;;
1637;MDA;MGENG-0282;;
1638;MKD;MGENG-0282;;
1639;MLT;MGENG-0282;;
1640;MNE;MGENG-0282;;
1641;NLD;MGENG-0282;;
1642;SMR;MGENG-0282;;
1643;SVK;MGENG-0282;;
1644;SVN;MGENG-0282;;
1645;USA;MGENG-0282;;
1646;VAT;MGENG-0282;;
1647;ALB;MGENG-0288;;
1648;BIH;MGENG-0288;;
1649;CYP;MGENG-0288;;
1650;DZA;MGENG-0288;;
1651;EGY;MGENG-0288;;
1652;ESP;MGENG-0288;;
1653;EUU;MGENG-0288;;
1654;FRA;MGENG-0288;;
1655;GRC;MGENG-0288;;
1656;HRV;MGENG-0288;;
1657;ISR;MGENG-0288;;
1658;ITA;MGENG-0288;;
1659;LBN;MGENG-0288;;
1660;LBY;MGENG-0288;;
1661;MAR;MGENG-0288;;
1662;MLT;MGENG-0288;;
1663;MNE;MGENG-0288;;
1664;SVN;MGENG-0288;;
1665;SYR;MGENG-0288;;
1666;TUR;MGENG-0288;;
1667;BGR;MGENG-0289;;
1668;BRA;MGENG-0289;;
1669;CAN;MGENG-0289;;
1670;CHN;MGENG-0289;;
1671;ESP;MGENG-0289;;
1672;EUU;MGENG-0289;;
1673;FIN;MGENG-0289;;
1674;GRC;MGENG-0289;;
1675;IND;MGENG-0289;;
1676;ITA;MGENG-0289;;
1677;JPN;MGENG-0289;;
1678;KOR;MGENG-0289;;
1679;MUS;MGENG-0289;;
1680;NAM;MGENG-0289;;
1681;NLD;MGENG-0289;;
1682;NZL;MGENG-0289;;
1683;PER;MGENG-0289;;
1684;RUS;MGENG-0289;;
1685;SWE;MGENG-0289;;
