 ,GENG-B,Title,Country.x,Country.y,DocDate,InForce,End,GEN.ID,IEA,ECOLEX,James,Xiaolei,Frederic,Google in English,Download Treaty,Amended by,Suspended by,Amends,Supersedes,Lineage,Sequence,Secretariat,Website,AdoptPlace,FullText,DocLangs,Keywords,Data,Articles..etc.,Issue,enabledByTreaty,searchDate,obsolete,abstract,region,subject,officialPublication,Form,Type,Mutuality,Subject,Target,Species,Area
?,GENG-1602,Bilateral Agreement on commercial marine navigation between Syria and Algeria,DZA,SYR,2002-04-10,NA,NA,,NA,TRE-149811,,,No end date listed in treaty text | Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DBilateral%2520Agreement%2520on%2520commercial%2520marine%2520navigation%2520between%2520Syria%2520and%2520Algeria%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y5LbHqgUiGQDxp4NLRMuxxSE5o4LZLDeE_kHuQo9ErUM,Yes,,,,,NA,NA,NA,NA,Damascus,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-149811.pdf,Arabic,international agreement-text | harbour | navigation | dispute settlement | enforcement/compliance | pollution control | transport/storage,NA,NA,OCEAN,NA,10/4/2002,FALSE,"This Agreement is composed of 21 articles. Article 1 deals with terms and definitions. Article 2 defines objectives of this Agreement in particular: (a) to develop the commercial marine navigation sector; (b) to reinforce the participation of the two Countries' ships in the transportation of goods between their ports; (c) to collaborate in putting into operation their ports and avoiding all obstacles of the marine commercial development; (d) to conceive a united policy for the realization of the participation and integration principle between their fleets; and (e) to cooperate in marine legislation,  inspection, guidance and rescue, pollution control and marine environment protection. The competent authority in both Countries shall be the Ministry of Transport (art. 3). Articles 4-17 deal with the following matters: treatment of ships in the ports; ships' nationality and documents; port service taxes and royalties; identification of sailors' documents; recognized rights of sailors; practicing of marine transportation; representation of marine transport companies; common investment; payments settlement; marine accidents; dispute settlement on ships; marine qualification and education; recognition of marine certifications, qualifications and degrees. The Joint Marine Committee shall be established as provided for in article 18. International obligations are defined in article 19.",,Sea,"Official Gazette No. 31, 31 July 2002, 5 pp.",,,,,,,
%,GENG-1594,Accord portant arrangements provisoires relatifs Ã  la dÃ©limitation de la frontiÃ¨re maritime entre la RÃ©publique algÃ©rienne dÃ©mocratique et populaire et la RÃ©publique tunisienne,DZA,TUN,2002-02-11,NA,NA,,NA,TRE-149550,,,Still in force | http://www.ambdz.tn/Relation%20bilaterales/Rubriques%20Culturelles/Accords%20et%20traites%20algero-tunisiens.php,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAccord%2520portant%2520arrangements%2520provisoires%2520relatifs%2520%25C3%2583%25C2%25A0%2520la%2520d%25C3%2583%25C2%25A9limitation%2520de%2520la%2520fronti%25C3%2583%25C2%25A8re%2520maritime%2520entre%2520la%2520R%25C3%2583%25C2%25A9publique%2520alg%25C3%2583%25C2%25A9rienne%2520d%25C3%2583%25C2%25A9mocratique%2520et%2520populaire%2520et%2520la%2520R%25C3%2583%25C2%25A9publique%2520tunisienne%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y5LbHqgUiGQDxp4NLRMuxxSE5o4LZLDeE_kHuQo9ErUM,Yes,,,,,NA,NA,NA,NA,Alger,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-149550.doc,French,international agreement-text | marine area,NA,NA,OCEAN,NA,11/2/2002,FALSE,"Le prÃ©sent accord porte arrangements provisoires relatifs Ã  la dÃ©limitation de la frontiÃ¨re maritime entre la RÃ©publique algÃ©rienne dÃ©mocratique et populaire et la RÃ©publique tunisienne. Le tracÃ© provisoire pour la dÃ©limitation de la frontiÃ¨re maritime entre les deux pays est constituÃ© de deux segments dune ligne droite reliant les points : point 1 (P1), point 2 (P2), point 3 (P3) et point 4 (P4), dÃ©finis comme suit : - le point 1 reprÃ©sente la borne frontaliÃ¨re n Âº 001 de la frontiÃ¨re terrestre algÃ©ro-tunisienne; - le point 2 reprÃ©sente le point situÃ© Ã  quatre (4) miles marins Ã  louest de lEcueil des Sorelles; - le point 3 reprÃ©sente le point dintersection de la ligne reliant les points (P1) et (P2) avec la ligne situÃ©e Ã  52 miles marins, dÃ©limitant au nord la zone algÃ©rienne de pÃªche rÃ©servÃ©e, calculÃ©e Ã  partir des lignes de base algÃ©riennes; - le point 4 reprÃ©sente le point aux coordonnÃ©es suivantes: * latitude : trente huit degrÃ© Nord (38Âº.00'N) et * longitude : sept degrÃ© et cinquante minutes Est (007Âº.50'E).",,Sea,"Journal Officiel RÃ©publique AlgÃ©rienne nÂ° 49, 617 aoÃ»t 2003, p. 7.",,,,,,,
?,GENG-1616,Accord de coopération dans le domaine de l'énergie entre le Gouvernement de la République algérienne démocratique et populaire et le Gouvernement de la République de Turquie,DZA,TUR,2002-07-03,NA,NA,,NA,TRE-149673,,Not found in UNTC,No end date listed in treaty text | Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DNA%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y5bbHqgUiGQDxp4NLmqDZfscmCp-PaMlwmTZws1-sudc,Yes,,,,,,NA,,NA,Ankara,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-149673.pdf,French,energy conservation/energy production | international agreement-text | mining,,,ENERGY,NA,3/7/2002,false,NA,,Mineral resources | Energy,"Journal officiel de la RÃ©publique algÃ©riÃ¨nne nÂº 64, 10 octobre 2004, p. 8.",,,,,,,
?,GENG-1777,"Accord-cadre entre le Gouvernement de la RÃ©publique algÃ©rienne dÃ©mocratique et populaire et le Gouvernement de l'Ukraine relatif Ã  la coopÃ©ration dans le domaine de la recherche et de l'utilisation de l'espace extra-atmosphÃ©rique Ã  des fins pacifiques, signÃ© Ã  Alger le 5 dÃ©cembre 2007",DZA,UKR,2007-12-05,NA,NA,,NA,TRE-151440,,,No end date listed in treaty text | Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAccord-cadre%2520entre%2520le%2520Gouvernement%2520de%2520la%2520R%25C3%2583%25C2%25A9publique%2520alg%25C3%2583%25C2%25A9rienne%2520d%25C3%2583%25C2%25A9mocratique%2520et%2520populaire%2520et%2520le%2520Gouvernement%2520de%2520l%27Ukraine%2520relatif%2520%25C3%2583%25C2%25A0%2520la%2520coop%25C3%2583%25C2%25A9ration%2520dans%2520le%2520domaine%2520de%2520la%2520recherche%2520et%2520de%2520l%27utilisation%2520de%2520l%27espace%2520extra-atmosph%25C3%2583%25C2%25A9rique%2520%25C3%2583%25C2%25A0%2520des%2520fins%2520pacifiques%252C%2520sign%25C3%2583%25C2%25A9%2520%25C3%2583%25C2%25A0%2520Alger%2520le%25205%2520d%25C3%2583%25C2%25A9cembre%25202007%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y5bbHqgUiGQDxp4NLmqDZfscmCp-PaMlwmTZws1-sudc,Yes,,,,,NA,NA,NA,NA,Alger,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-151440.pdf,Arabic | English | Hungarian,outer space | international agreement-text,NA,NA,ATMOS,NA,5/12/2007,FALSE,"ConformÃ©ment Ã  la lÃ©gislation en vigueur dans chacun des deux Etats, aux normes et aux principes du droit international communÃ©ment reconnus, les parties encouragent et favorisent la coopÃ©ration dans le domaine de l'exploration et de l'utilisation de l'espace Ã  des fins pacifiques. La coopÃ©ration dÃ©finie dans le cadre du prÃ©sent accord peut Ãªtre mise en oeuvre dans les domaines suivants: a) l'observation de la terre et de l'atmosphÃ¨re Ã  partir de l'espace extra-atmosphÃ©rique; b) les communications spatiales; c) le positionnement et la navigation par satellite; d) les systÃ¨mes satellitaires; e) les infrastructures au sol destinÃ©es Ã  la rÃ©ception, au traitement, au stockage, Ã  la distribution et Ã  lexploitation des rÃ©sultats de l'exploration spatiale; f) le service de lancement des satellites; g) la recherche scientifique et technique dans le domaine spatial; h) la formation de chercheurs et spÃ©cialistes dans le domaine spatial; i) les applications de donnÃ©es satellitaires.",,Air &amp; atmosphere,"Journal officiel de la RÃ©publique algÃ©rienne nÂº 35, 29 juin 2008, p. 4 Ã  8.",,,,,,,
?,GENG-1547,Cooperation Agreement In The Fields Of Mining And Energy,DZA,ZAF,2000-09-23,NA,NA,,IEA-1273,TRE-149433,,Not in force by ZAF,No end date listed in treaty text,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DCooperation%2520Agreement%2520In%2520The%2520Fields%2520Of%2520Mining%2520And%2520Energy%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y5rbHqgUiGQDxp4NLcT-4cbRIxhS1ApXOu-zUWM850qA,Yes,,,,,,NA,,NA,Alger,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-149433.doc,French,energy conservation/energy production | international agreement-text | mining,,,ENERGY,NA,23/9/2000,false,NA,Africa | Northern Africa | Mediterranean | Southern Africa | South Atlantic,Mineral resources | Energy,,,,,,,,
?,GENG-1587,Agreement between the Government of the People's Democratic Republic of Algeria and the Government of the Republic of South Africa on cooperation in the fields of fisheries and coastal management,DZA,ZAF,2001-10-19,NA,NA,GFG-993,NA,TRE-149439,,Not listed in UNTC,No end date listed in treaty text | French title: Accord entre le Gouvernement de la RÃ©publique algÃ©rienne dÃ©mocratique et populaire et le gouvernement de la RÃ©publique de l'Afrique du Sud relatif Ã  la coopÃ©ration dans les domaines de la pÃªche et de la gestion du littoral,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520between%2520the%2520Government%2520of%2520the%2520People%27s%2520Democratic%2520Republic%2520and%2520the%2520Government%2520of%2520the%2520Republic%2520of%2520South%2520Africa%2520on%2520cooperation%2520in%2520the%2520fields%2520of%2520fisheries%2520and%2520coastal%2520management%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y5rbHqgUiGQDxp4NLcT-4cbRIxhS1ApXOu-zUWM850qA,Yes,,,,,NA,NA,NA,NA,Pretoria,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-149439.doc,French,international agreement-text | coastal zone management,NA,NA,OCEAN | Fisheries,NA,19/10/2001,FALSE,"Par le prÃ©sent accord entre le Gouvernement de la RÃ©publique algÃ©rienne dÃ©mocratique et populaire et le gouvernement de la RÃ©publique de l'Afrique du Sud, les deux pays s'efforceront de promouvoir le dÃ©veloppement de la coopÃ©ration dans les domaines de la pÃªche et de l'aquaculture. Cette coopÃ©ration est axÃ©e sur: l'exploitation durable des ressources halieutiques; la facilitation de la construction, la rÃ©paration et la maintenace des unitÃ©s de pÃªche; la promotion, la transformation et la commercialisation des produits de la pÃªche et l'organisation de cycles de formation ainsi que la recherche dans les domaines de la pÃªche et de l'aquaculture.Afin de promouvoir l'exploitation Ã©quitable et durable de leurs ressources marines et cÃ´tiÃ¨res, les parties soutiennent la concertation et l'adoption de positions et de stratÃ©gies communes sur le plan rÃ©gional et international.",,Sea | Fisheries,,Agreement,Agreement,,Fisheries Cooperation,,Fish,
?,GENG-2069,Agreement on the criteria for the rehabilitation or reconstruction of the headworks and ancillary works of the Zarumilla Canal,ECU,PER,1905-06-20,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2069 by Frederic in subject area Water from International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-2070,"Protocol of Peace, Friendship and Boundaries Signed between Peru and Ecuador in Rio de Janeiro on January 29, 1942",ECU,PER,1942-01-29,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2070 by Frederic in subject area Water from International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-2071,Declaration and exchange of Notes concerning the termination of the process of demarcation of the Peruvian-Ecuadorean frontier,ECU,PER,1944-05-22,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2071 by Frederic in subject area Water from International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-2072,Agreement for the development of the binational Puyango-Tumbes and Catamayo-Chira basins by Peru and Ecuador (with provisional rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira basins).,ECU,PER,1971-09-27,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2072 by Frederic in subject area Water from International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-2073,"Exchange of letters constituting an agreement approving the rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira basins, as provided for in article 16 of the abovementioned Agreement.",ECU,PER,1972-06-10,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2073 by Frederic in subject area Water from International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-2074,Agreement for the development of the binational Puyango-Tumbes and Catamayo-Chira Basins by Peru and Ecuador (with provisional rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira Basins).,ECU,PER,1975-02-26,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2074 by Frederic in subject area Water from International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-2075,Agreement on the criteria for the rehabilitation or reconstruction of the headworks and ancillary works of the Zarumilla Canal,ECU,PER,1998-03-05,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2075 by Frederic in subject area Water from International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-2076,Reglamento para la Administracion del Canal de Zarumilla y la utilizacion de sus aguas,ECU,PER,1998-10-26,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2076 by Frederic in subject area Water from International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-1477,Tratado de Comercio y NavegaciÃ³n entre los Gobiernos de la RepÃºblica del Ecuador y la RepÃºblica del PerÃº,ECU,PER,1998-10-26,NA,NA,,IEA-2176,TRE-152439,,,No end date listed in treaty text | Not listed in UN Treaty Collection | English title: Treaty Of Commerce And Navigation Between Ecuador And Peru (http://iea.uoregon.edu/page.php?query=treaty_info&mitch_id=2176),http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTratado%2520de%2520Comercio%2520y%2520Navegaci%25C3%2583%25C2%25B3n%2520entre%2520los%2520Gobiernos%2520de%2520la%2520Rep%25C3%2583%25C2%25BAblica%2520del%2520Ecuador%2520y%2520la%2520Rep%25C3%2583%25C2%25BAblica%2520del%2520Per%25C3%2583%25C2%25BA%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y57bHqgUiGQDxp4NLrd1L3dGSBlMYgqgmNE8hba0boYU,Yes,,,,,NA,NA,NA,NA,Brasilia,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-152439.htm,Spanish,international agreement-text | bank | navigation,NA,NA,WATER,NA,26/10/1998,FALSE,"El Tratado de Comercio y NavegaciÃ³n entre los Gobiernos de la RepÃºblica del Ecuador y la RepÃºblica del PerÃº, que consta de 39 artÃ­culos, se suscribe de conformidad con el artÃ­culo VI del Protocolo de RÃ­o de Janeiro del 29 de enero de 1942. El Ecuador gozarÃ¡ para la navegaciÃ³n pacÃ­fica y el comercio en el Amazonas y sus afluentes septentrionales de los derechos que se estipulan en el presente Tratado, ademÃ¡s de aquÃ©llos que le reconoce el articulo VI del Protocolo de RÃ­o de Janeiro. A efectos de facilitar la navegaciÃ³n y el comercio a que se refiere el artÃ­culo anterior, el Ecuador podrÃ¡ utilizar los rÃ­os que, desde la frontera con el PerÃº, le permitan usar tambiÃ©n una vÃ­a fluvial que se conecte directamente con el Amazonas. Las Partes, de comÃºn acuerdo, habilitarÃ¡n los pasos de frontera que resulten necesarios. Para los mismos efectos, tambiÃ©n gozarÃ¡ el Ecuador del derecho de trÃ¡nsito terrestre por las correspondientes vÃ­as pÃºblicas de acceso, actualmente existentes o que se construyan en el futuro, que conecten el territorio del Ecuador con puntos fluviales habilitados para la carga y descarga de mercancÃ­as en los rÃ­os objeto de este Tratado. El Ecuador gozarÃ¡ del derecho de uso, sobre bases no discriminatorias, de los servicios portuarios que se presten en los citados puntos fluviales. Estos derechos serÃ¡n ejercidos de modo libre, gratuito, continuo y perpetuo.",,Water,,,,,,,,
