 ,GENG-B,Title,Country.x,Country.y,DocDate,InForce,End,GEN.ID,IEA,ECOLEX,James,Xiaolei,Frederic,Google in English,Download Treaty,Amended by,Suspended by,Amends,Supersedes,Lineage,Sequence,Secretariat,Website,AdoptPlace,FullText,DocLangs,Keywords,Data,Articles..etc.,Issue,enabledByTreaty,searchDate,obsolete,abstract,region,subject,officialPublication,Form,Type,Mutuality,Subject,Target,Species,Area
?,GENG-2007,Treaty between the government of Afghanistan and His Britannic Majesty's Government for the establishment of neighbourly relations,AFG,GBR,1921-11-22,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2007 by Frederic from the International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
%,GENG-203,"Terms Of Reference Of The Helmand River Delta Commission And An Interpretive Statement Relative Thereto, Agreed By Conferees Of",AFG,IRN,1950-09-07,NA,NA,,IEA-1853,NA,,Very likely still in force | http://www.unep.org/experts/default.asp?page=home&ExpertID=19&SessionID=198 | http://transboundarywater.geo.orst.edu/publications/atlas/atlas_pdf/4_Treaties_asia.pdf,Listed in International Freshwater Treaties Database,"http://www.google.ch/search?q=Terms+Of+Reference+Of+The+Helmand+River+Delta+Commission+And+An+Interpretive+Statement+Relative+Thereto,+Agreed+By+Conferees+Of+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22suppla",Yes,,,,,Not Yet Assigned,100,Secretariat not yet identified,NA,NA,NA,NA,NA,,,Water,NA,NA,NA,NA,NA,NA,NA,,,,,,,
?,GENG-1969,The Afghan-Iranian Helmand-River Water Treaty (with 2 protocols),AFG,IRN,1973-03-20,NA,NA,,NA,NA,,,No information on validity | Added as GENG-1969 by Frederic in subject area Water from http://www.internationalwaterlaw.org/documents/regionaldocs/1973_Helmand_River_Water_Treaty-Afghanistan-Iran.pdf,,Yes,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-267,Protocol between the Union of Soviet Socialist Republics and Afghanistan on the joint execution of works for the integrated utilization of the water resources in the frontier section of the Amudarya river,AFG,RUS,1958-06-25,1958-06-25,NA,,NA,TRE-149847,,,No end date listed in treaty text nor UN Treaty Collection | Listed in International Freshwater Treaties Database | Not listed in UN Treaty Collection,http://www.google.ch/search?q=Protocol+between+the+Union+of+Soviet+Socialist+Republics+and+Afghanistan+on+the+joint+execution+of+works+for+the+integrated+utilization+of+the+water+resources+in+the+frontier+section+of+the+Amudarya+river+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3NpRVdinFYqisAHx1YHABQ,Yes,,,,,NA,NA,NA,www.ce.utexas.edu,Kabul,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-149847.doc,Russian | Persian,international agreement-text | surface water,NA,NA,Water,NA,25/6/1958,FALSE,"The Government of the Union of Soviet Socialist Republics and Royal Government of Afghanistan, striving to further widen and strengthen of the economic cooperation between two countries, taking into account the interests of both countries in integrated utilization of the water resources in the frontier section of the Amudarya river, have agreed as follows: 1) The Government of the Union of Soviet Socialist Republics and the Royal Government of Afghanistan have agreed to cooperate in execution of works for joint integrated utilization of water resources in the section of the Amudarya river, boundary between USSR and Afghanistan, and in particular, in the section of the river at Kelif. The Parties shall additionally agree about principles, volumes, terms and other conditions for implementation of design and construction works aimed at integrated utilization of the Amudarya river water resources.",Central Asia,Water,,,,,,,,
?,GENG-951,Agreement Of Cooperation Regarding Maritime Fisheries Between Congo And Angola,AGO,COG,1985-10-22,,NA,GFG-638,IEA-666,TRE-151770,,,No end date listed in treaty text | Not listed in UN Treaty Collection,http://www.google.ch/search?q=Agreement+Of+Cooperation+Regarding+Maritime+Fisheries+Between+Congo+And+Angola+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3NpRVbiZGcarswG4k4DwAg,Yes,,,,,,100,No known secretariat,,Luanda,,French,marine fisheries|fishing area,,,Fisheries,,,,,,,,Agreement,Agreement,,Fisheries Cooperation,,Fish,
%,GENG-935,Agreement Regarding Maritime Fisheries Between Angola And Spain,AGO,ESP,1984-11-02,NA,1987-05-03,GFG-624,IEA-654,TRE-151803,,,Treaty was terminated on 03.05.1987 with Spain entering the European Union under http://www.boe.es/buscar/doc.php?id=BOE-A-1987-12157 | Listed under http://www.boe.es/buscar/doc.php?id=BOE-A-1985-18893 | Not listed in UN Treaty Collection,http://www.google.ch/search?q=Agreement+Regarding+Maritime+Fisheries+Between+Angola+And+Spain+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3NpRVemAHYGrswGG3YDgBA,Yes,,,,,,100,No known secretariat,,Madrid,,Spanish,,,,Fisheries,,,,,,,,Agreement,Agreement,Reciprocal,Cooperation,Fisheries,Fish,
%,GENG-1011,Agreement between the European Economic Community and the Government of the People's Republic of Angola on fishing off Angola - Protocol establishing the fishing rights and financial contribution provided for in the Agreement between the European Economic Community and the Government of the People's Republic of Angola on fishing off Angola    ,AGO,EUU,1989-02-01,NA,2006-08-11,GFG-672,IEA-2344,TRE-152151,,,Agreement not in force anymore as confirmed by DG Maritime Affairs and Fisheries (e-mail) | Agreement was provisionally applied from 03.05.1987 onwards | Listed under http://eur-lex.europa.eu/legal-content/EN/NOT/?uri=CELEX:21987A0919%2802%29&qid=1441096349399 | Listed under http://ec.europa.eu/world/agreements/prepareCreateTreatiesWorkspace/treatiesGeneralData.do?step=0&redirect=true&treatyId=7121,http://www.google.ch/search?q=Agreement+Between+The+European+Economic+Community+And+The+Government+Of+The+People's+Re+Public+Of+Angola+On+Fishing+In+The+Waters+Of+Angola+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3NpRVYXpIIusswGAr4GwCQ,Yes,"GENG-1889, GENG-1890, GENG-1891, GENG-1892, GENG-1401, GENG-1529, GENG-1565, GENG-1620",,,,Angola-EEC FPA,100,No known secretariat,http://europa.eu.int,,,English,,,,Fisheries,,,,,,,,Agreement,Agreement,Directed,Access,AGO,Fish,AGO
?,GENG-1889,"Protocol defining, for the period 3 May 1989 to 2 May 1990, the fishing opportunities and financial compensation provided for in the Agreement between the European Economic Community and the Government of the People' s Republic of Angola on fishing off Angola",AGO,EUU,1992-04-07,1992-04-07,1990-05-02,,NA,NA,,,"Protocol was only signed on 07.04.1992, however, it already terminated on 02.05.1990 | Protocol was provisionally applied from 03.05.1989 onwards | Added as GENG-1889 by Frederic in subject area Fisheries from http://eur-lex.europa.eu/legal-content/EN/NOT/?uri=CELEX:21989A0816%2804%29&qid=1441096349399",,Yes,,,GENG-1011,,,,,,,,,,,,Fisheries,,,,,,,,,,,,,,
%,GENG-1890,"Protocol defining, for the period 3 May 1990 to 2 May 1992, the fishing opportunities and financial compensation provided for in the Agreement between the European Economic Community and the Government of the people's Republic of Angola on fishing off Angola",AGO,EUU,1992-04-07,1992-04-07,1992-05-02,,NA,NA,,,Protocol was provisionally applied from 03.05.1990 onwards | Added as GENG-1890 by Frederic in subject area Fisheries from http://eur-lex.europa.eu/legal-content/EN/NOT/?uri=CELEX:21990A1231%2808%29&qid=1441096349399,,Yes,,,GENG-1011,,,,,,,,,,,,Fisheries,,,,,,,,,,,,,,
?,GENG-1891,"Protocol defining, for the period from 3 May 1992 to 2 May 1994, the fishing possibilities and financial compensation provided for in the Agreement between the European Community and the Government of the People' s Republic of Angola on fishing off Angola",AGO,EUU,1995-06-29,1995-06-29,1994-05-02,,NA,NA,,,"Protocol was only signed on 29.06.1995, however, it already terminated on 02.05.1994 | Protocol was provisionally applied from 03.05.1992 onwards | Added as GENG-1891 by Frederic in subject area Fisheries from http://eur-lex.europa.eu/legal-content/EN/NOT/?uri=CELEX:21993A0316%2802%29&qid=1441096349399",,Yes,,,GENG-1011,,,,,,,,,,,,Fisheries,,,,,,,,,,,,,,
%,GENG-1892,"Protocol defining, for the period from 3 May 1994 to 2 May 1996, the fishing possibilities and financial compensation provided for in the Agreement between the European Economic Community and the Government of the People's Republic of Angola on fishing off Angola - Annex: Conditions for the pursuit of fishing activities by Community vessels in the waters of Angola    ",AGO,EUU,1995-06-29,1995-06-29,1996-05-02,,NA,NA,,,Protocol was provisionally applied from 03.05.1994 onwards | Added as GENG-1892 by Frederic in subject area Fisheries from http://eur-lex.europa.eu/legal-content/EN/NOT/?uri=CELEX:21994A1216%2801%29&qid=1441096349399,,Yes,,,GENG-1011,,,,,,,,,,,,Fisheries,,,,,,,,,,,,,,
?,GENG-1401,Protocol Defining (For The Period Between 3 May 1996 To 2 May 1999) The Fishing Opportunities And Financial Compensation Provided For In The Agreement Between The European Economic Community And The People's Republic Of Angola On Fishing Off Angola,AGO,EUU,2000-03-30,2000-03-30,1999-05-02,GFG-889,IEA-2388,TRE-152154,,,"Protocol was only signed on 30.03.2000, however, it already terminated on 02.05.1999 | Protocol was provisionally applied from 03.05.1996 onwards | Listed under http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1441096349399&uri=CELEX:21997A0217%2801%29 | Listed under http://ec.europa.eu/world/agreements/prepareCreateTreatiesWorkspace/treatiesGeneralData.do?step=0&redirect=true&treatyId=7121",http://www.google.ch/search?q=Protocol+Defining+(For+The+Period+Between+3+May+1996+To+2+May+1999)+The+Fishing+Opportunities+And+Financial+Compensation+Provided+For+In+The+Agreement+Between+The+European+Economic+Community+And+The+People's+Republic+Of+Angola+On+Fishing+Off+Angola+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3NpRVYHBKIauswGDpYDoDg,Yes,,,GENG-1011,,Angola-EEC FPA,100,No known secretariat,http://europa.eu.int,,,English,,,,Fisheries,,,,,,,,Protocol,Amendment,Directed,Access,AGO,Fish,AGO
%,GENG-1529,"Protocol Defining, (For The Period Between The 3 May 1999 To 2 May 2000), The Fishing Opportunities And Financial Compensation Provided For In The Agreement Between The European Community And The People's Republic Of Angola On Fishing In Angolan Waters",AGO,EUU,2000-03-30,2000-03-30,2000-05-02,GFG-940,IEA-2413,TRE-148639,,,Protocol was provisionally applied from 03.05.1999 onwards | Listed under http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1441096349399&uri=CELEX:22000A0121%2801%29 | Listed under http://ec.europa.eu/world/agreements/prepareCreateTreatiesWorkspace/treatiesGeneralData.do?step=0&redirect=true&treatyId=5081,"http://www.google.ch/search?q=Protocol+Defining,+(For+The+Period+Between+The+3+May+1999+To+2+May+2000),+The+Fishing+Opportunities+And+Financial+Compensation+Provided+For+In+The+Agreement+Between+The+European+Community+And+The+People's+Republic+Of+Angola+On+Fishing+In+Angolan+Waters+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3NpRVdilLYGusAHGuIHABA",Yes,,,GENG-1011,,Angola-EEC FPA,100,No known secretariat,http://europa.eu.int,,,English,foreign fishing|subsidy/incentive|fishing licence|fishing licence fee,,,Fisheries,,,,,,,,Protocol,Amendment,Directed,Access,AGO,Fish,AGO
%,GENG-1565,"Protocol Setting Out (For The Period Between The 3 May 2000 To 2 May 2002), The Fishing Opportunities And The Financial Contribution Provided In The Agreement Between The European Community And The Republic Of Angola On Fishing Off The Coast Of Angola",AGO,EUU,2000-07-06,NA,2002-08-02,GFG-978,IEA-2435,TRE-148576,,,Protocol was provisionally applied by Exchange of Letters (TRE-148579) from 03.05.2000 onwards | Listed under http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1441096349399&uri=CELEX:22001A0308%2801%29,"http://www.google.ch/search?q=Protocol+Setting+Out+(For+The+Period+Between+The+3+May+2000+To+2+May+2002),+The+Fishing+Opportunities+And+The+Financial+Contribution+Provided+In+The+Agreement+Between+The+European+Community+And+The+Republic+Of+Angola+On+Fishing+Off+The+Coast+Of+Angola+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3NpRVYarMYGMsAGX3ICgBw",Yes,GENG-1893,,GENG-1011,,Angola-EEC FPA,100,No known secretariat,http://europa.eu.int,,,English,foreign fishing|fishing licence|fishing licence fee|bycatch,,,Fisheries,,,,,,,,Protocol,Amendment,Directed,Access,AGO,Fish,AGO
?,GENG-1893,Agreement in the form of an Exchange of Letters on the extension of the Protocol setting out the fishing rights and the financial contribution provided for in the Agreement between the European Economic Community and the Government of the Republic of Angola on fishing off Angola for the period from 3 May 2002 to 2 August 2002,AGO,EUU,2002-11-21,NA,2002-08-02,,NA,NA,,,"Protocol was only signed on 21.11.2002, however, it already terminated on 02.08.2002 | Protocol was provisionally applied from 03.05.2002 onwards | Listed under http://eur-lex.europa.eu/legal-content/EN/NOT/?uri=CELEX:22002A1121%2801%29&qid=1441096349399",,Yes,,,GENG-1565,,,,,,,,,,,,Fisheries,,,,,,,,,,,,,,
%,GENG-1620,"Protocol Setting Out, For The Period From 3 August 2002 To 2 August 2004, The Fishing Opportunities And The Financial Contribution Provided For By The Agreement Between The European Economic Community And The Government Of The Republic Of Angola On Fishing Off Angola",AGO,EUU,2002-12-28,NA,2004-08-02,GFG-1008,IEA-2450,TRE-149238,,,Protocol was provisionally applied from 03.08.2002 onwards | Listed under http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1441097775797&uri=CELEX:22002A1228%2804%29 | Listed under http://ec.europa.eu/world/agreements/prepareCreateTreatiesWorkspace/treatiesGeneralData.do?step=0&redirect=true&treatyId=7121,"http://www.google.ch/search?q=Protocol+Setting+Out,+For+The+Period+From+3+August+2002+To+2+August+2004,+The+Fishing+Opportunities+And+The+Financial+Contribution+Provided+For+By+The+Agreement+Between+The+European+Economic+Community+And+The+Government+Of+The+Republic+Of+Angola+On+Fishing+Off+Angola+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3NpRVeyONoWwsAHDlIC4Dg",Yes,,,GENG-1011,,Angola-EEC FPA,100,No known secretariat,http://europa.eu.int,,,English,marine fisheries|fishing area|access right|fishing licence|fishing licence fee|inspection|enforcement/compliance|landing|mesh|protected fish species|transhipment|bycatch|offences/penalties,,,Fisheries,,,,,,,,Protocol,Amendment,Directed,Access,AGO,Fish,AGO
?,GENG-1088,Agreement In Regard To The Development And Utilization Of The Water Potential Of The Kunene River,AGO,NAM,1990-09-18,NA,NA,,IEA-769,NA,,,Not clear whether still in force | Listed under http://www.kunenerak.org/en/governance/transboundary+water+resources+management/basin+level+agreements.aspx | Listed in International Freshwater Treaties Database | Not listed in UN Treaty Collection,http://www.google.ch/search?q=Agreement+In+Regard+To+The+Development+And+Utilization+Of+The+Water+Potential+Of+The+Kunene+River+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3NpRVdbsOoqysQGu_IDIBQ,Yes,GENG-1953,,,,Not Yet Assigned,100,No known secretariat,NA,NA,NA,NA,NA,,,Water,NA,NA,NA,NA,NA,NA,NA,,,,,,,
?,GENG-1089,Agreement On General Cooperation And The Creation Of The Angolan-Namibian Joint Commission Of Cooperation,AGO,NAM,1990-09-18,NA,NA,,IEA-770,NA,,,Not clear whether still in force | Listed under http://www.kunenerak.org/en/docs/peopledocs.aspx | Listed in International Freshwater Treaties Database | Not listed in UN Treaty Collection,http://www.google.ch/search?q=Agreement+On+General+Cooperation+And+The+Creation+Of+The+Angolan-Namibian+Joint+Commission+Of+Cooperation+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3dpRVa-6A4SRsAGh34DoCg,Yes,,,,,Not Yet Assigned,100,No known secretariat,NA,NA,NA,NA,NA,,,Water,NA,NA,NA,NA,NA,NA,NA,,,,,,,
?,GENG-1953,"Protocol of the Agreement between the Government of the Republic of Namibia and the People's Republic of Angola on the Development of a Hyproelectric Generating Scheme, in principle, of the Cunene River",AGO,NAM,1991-10-24,NA,NA,,NA,NA,,,Not clear whether still in force | Added as GENG-1953 by Frederic in subject area Water from http://www.kunenerak.org/en/governance/transboundary+water+resources+management/basin+level+agreements.aspx,,Yes,,,GENG-1088,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-673,Agreement between the government of the Union of Soviet Socialist Republics and the government of the People's Republic of Angola concerning co-operation in the field of fisheries,AGO,RUS,1976-05-26,1976-05-26,NA,GFG-465,IEA-4155,NA,,,No end date listed in treaty text nor UN Treaty Collection | Listed under https://treaties.un.org/Pages/showDetails.aspx?objid=08000002800f1378,http://www.google.ch/search?q=Agreement+between+the+government+of+the+Union+of+Soviet+Socialist+Republics+and+the+government+of+the+People's+Republic+of+Angola+concerning+co-operation+in+the+field+of+fisheries+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3dpRVcWpCIHbsgHT8oH4Cw,Yes,,,,,,100,No known secretariat,,,,,,,,Fisheries,,,,,,,,Agreement,Agreement,,Fisheries Cooperation,,Fish,
?,GENG-809,Agreement On Cooperation In The Field Of Fisheries,AGO,RUS,1979-04-06,NA,NA,GFG-557,IEA-582,NA,,,Not listed in UN Treaty Collection,http://www.google.ch/search?q=Agreement+On+Cooperation+In+The+Field+Of+Fisheries+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3dpRVduKDcOQsgGS6IHoDQ,No,,,,,,100,No known secretariat,,,,,,,,Fisheries,,,,,,,,Agreement,Agreement,Reciprocal,Cooperation,Fisheries,Fish,
%,GENG-1701,Agreement between the Government of the Federal Republic of Germany and the Council of Ministers of Albania on technical cooperation 2003,ALB,DEU,2005-07-26,2005-10-07,NA,,NA,TRE-151167,,,Still in force | 'Fundstellennachweis B_2014' (see in folder _Documents),http://www.google.ch/search?q=Agreement+between+the+Government+of+the+Federal+Republic+of+Germany+and+the+Council+of+Ministers+of+Albania+on+technical+cooperation+2003+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3dpRVf_xEYapsgH2nIDwCg,Yes,,,,,,NA,,NA,Tirana,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-151167.pdf,Albanian | German,international agreement-text | energy conservation/energy production | special fund,,,ENERGY,NA,26/7/2005,false,"The Agreement aims at the development of cooperation between Germany and Albania. In particular, Germany grants a credit to Albania to improve the main electricity supply. The text consists of 6 articles.",,Energy,BGBl. 2006 II 533,,,,,,,
?,GENG-1640,Agreement between the Government of the Hellenic Republic and the Government of the Republic of Albania on the establishment of the permanent Greek-Albanian Commission on transboundary freshwater issues,ALB,GRC,2003-04-03,NA,2013-04-02,,NA,TRE-150177,,,"Duration period of five years stated in treaty text, which was automatically renewed for successive five years | Listed in International Freshwater Treaties Database",http://www.google.ch/search?q=Agreement+between+the+Government+of+the+Hellenic+Republic+and+the+Government+of+the+Republic+of+Albania+on+the+establishment+of+the+permanent+Greek-Albanian+Commission+on+transboundary+freshwater+issues+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3dpRVbWGG4G3sgGiyoCIBg,Yes,GENG-1783,,,,NA,NA,NA,NA,NA,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-150177.pdf,Greek,international agreement-text | basin | freshwater quality/freshwater pollution,NA,NA,WATER,NA,3/4/2003,FALSE,"The two parties, beeing aware of the necessity to strengthen the national and bilateral action to prevent pollution of freshwater have agreed to establish a permanent Greek-Albanian Commission on transbaoundary freshwater issues. The Commission shall conduct its ordinary meeting once a year. The tasks will focus on freshwater pollution and water quality of the Aoos/Vjosa river basin district, Drinos and Prespa lakes.",,Water,"Efimeris tis Kyverniseos No. 264, Part I, 25 October 2005, pp. 4385-4390.",,,,,,,
?,GENG-1783,Agreed Minutes of the meeting of the Greek-Albanian permanent Commission on the transboundary freshwater issues,ALB,GRC,2008-04-10,NA,2013-04-02,GFG-1078,NA,TRE-151434,,,Unclear whether treaty (TRE-150177) and this amendment ended on 02.04.2013,http://www.google.ch/search?q=Agreed+Minutes+of+the+meeting+of+the+Greek-Albanian+permanent+Commission+on+the+transboundary+freshwater+issues+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3dpRVZPSFoePsgGv64CIBw,Yes,,,GENG-1640,,NA,NA,NA,NA,Tirana,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-151434.pdf,Greek|English,seasons|basin|environmental planning|freshwater resources management|freshwater quality/freshwater pollution|international basin institution,NA,NA,WATER | Fisheries,TRE-150177,10/4/2008,FALSE,"The Greek-Albanian permanent Commission on the transboundary freshwater issues, established under Article 1 of the Agreement on the establishment of the permanent Greek-Albanian Commission on transboundary freshwater issues, held its first meeting on April 10, 2008 in Tirana. Both delegations expressed their will to pursue their collaboration on the protection of their transboundary watercourses and lakes. With this view, the two Parties agreed to create a sub commission aiming at the coordination and the production of a single management plan related to the whole river basin district. Also, a study should be prepared concerning the monitoring of the environmental parameters of the Prespa Lakes. The sub commission is also mandated to define the technical parameters of this study. Among the other issues discussed, the Albanian side raised the issue of irrigation in the region of Kor̤a, especially the need for the use of waters from Little Prespa, as well as the need of harmonisation of fishing periods.",,Water | Fisheries,"Efimeris tis Kyverniseos No. 134, Part I, 10 July 2008, pp. 2525-2532.",Minutes,Agreement,,Frontiers,Inland,,
?,GENG-130,Treaty between Italy and Albania concerning Access Rights to Albanian Waters,ALB,ITA,1924-01-20,NA,NA,GFG-122,IEA-4084,NA,,,Not listed in UN Treaty Collection | Treaty not listed under http://itra.esteri.it/Ricerca_Documenti/wfrmRicerca_Documenti.aspx,http://www.google.ch/search?q=Treaty+between+Italy+and+Albania+concerning+Access+Rights+to+Albanian+Waters+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3dpRVfm0JMmLsAHu74C4DQ,No,,,,,Not Yet Assigned,100,No known secretariat,NA,NA,NA,NA,NA,,,Fisheries | Ocean,NA,NA,NA,NA,NA,NA,NA,Treaty,Agreement,Directed,Access,ALB,,ALB
%,GENG-1182,"Agreement between the Republic of Italy and the Republic of Albania on the reciprocal delimitation of the continental shelf, with final act, made at Tirana on 18 December 1992",ALB,ITA,1992-12-18,1992-12-18,NA,,NA,TRE-152019,,,Still in force | http://www.un.org/depts/los/LEGISLATIONANDTREATIES/STATEFILES/ITA.htm,"http://www.google.ch/search?q=Agreement+between+the+Republic+of+Italy+and+the+Republic+of+Albania+on+the+reciprocal+delimitation+of+the+continental+shelf,+with+final+act,+made+at+Tirana+on+18+December+1992+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3dpRVYyGIIaosgHW4oGoDw",Yes,,,,,NA,NA,NA,NA,Tirana,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-152019.pdf,Italian | English,international agreement-text | continental shelf,NA,NA,OCEAN,NA,18/12/1992,FALSE,"Purpose of this Agreement is to establish the continental shelf in the Adriatic Sea and in the Otranto Channel, in respect of which the parties may excercise their sovereignty for the exploitation of the natural resources.",,Sea,"Gazzetta Ufficiale della Repubblica Italiana No. 99, 29 April 1995, pp. 121-129.",,,,,,,
%,GENG-1671,Agreement between the Council of Ministers of the Republic of Albania and the Government of the Republic of Macedonia for the protection and sustainable development of Lake Ohrid and its watershed,ALB,MKD,2004-06-17,NA,NA,,NA,TRE-151137,,,Still in force 2009 | https://books.google.ch/books?id=18LXuCat-HUC&pg=PA86&lpg=PA86&dq=Agreement+between+the+Council+of+Ministers+of+the+Republic+of+Albania+and+the+Government+of+the+Republic+of+Macedonia+for+the+protection+and+sustainable+development+of+Lake+Ohrid+and+its+watershed&source=bl&ots=qXpS6CWmvN&sig=l5gUmWsKENfx95GWdHYiE-TKwMQ&hl=de&sa=X&ei=XiolVYXWCsKMsAGj84EQ&ved=0CC0Q6AEwAg#v=onepage&q=Agreement%20between%20the%20Council%20of%20Ministers%20of%20the%20Republic%20of%20Albania%20and%20the%20Government%20of%20the%20Republic%20of%20Macedonia%20for%20the%20protection%20and%20sustainable%20development%20of%20Lake%20Ohrid%20and%20its%20watershed&f=false | Listed in International Freshwater Treaties Database,http://www.google.ch/search?q=Agreement+between+the+Council+of+Ministers+of+the+Republic+of+Albania+and+the+Government+of+the+Republic+of+Macedonia+for+the+protection+and+sustainable+development+of+Lake+Ohrid+and+its+watershed+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3dpRVb7wKIirsQGa8oHwDQ,Yes,,,,,NA,NA,NA,NA,Skopje,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-151137.doc,Albanian | English,international agreement-text | basin | catchment/watershed | freshwater quality/freshwater pollution | ecosystem preservation | international basin institution | biological diversity | management/conservation,NA,NA,WATER,NA,17/6/2004,FALSE,"The Contracting Parties agree to work individually and in cooperation to ensure the integrated protection of the Ohrid Lake and to give to the lake and its watershed the status of world natural and cultural heritage as well as the status of biosphere reserve. The Parties shall take all necessary measures in order to: (a) prevent, control and reduce pollution in the watershed; (b) protect soil from erosion, depletion and pollution; (c) preserve biodiversity, especially through the protection of endemic, rare, threatened and endangered species; (d) prevent the introduction and breeding of non autochthonous animal and plant species; (e) ensure the sustainable exploitation of natural resources of the watershed; (f) avoid any serious damage of the cultural values and natural landscapes; and (g) prevent and control the economical activities which cause or may cause harms to the watershed. The Agreement establishes the Lake Ohrid Watershed Committee, which monitors the activities carried out for protecting the lake and proposes measures for attaining the objectives pursued.",,Water | Wild species &amp; ecosystems,,,,,,,,
?,GENG-244,Protocol Concerning Fishing In Frontier Lakes And Rivers To The Agreement Between The Government Of The Federal People's Republic Of Yugoslavia And The Government Of The People's Republic Of Albania Concerning Water Economy Questions,ALB,YUG,1956-12-05,NA,NA,GFG-204,IEA-154,NA,,,Not listed in UN Treaty Collection,http://www.google.ch/search?q=Protocol+Concerning+Fishing+In+Frontier+Lakes+And+Rivers+To+The+Agreement+Between+The+Government+Of+The+Federal+People's+Republic+Of+Yugoslavia+And+The+Government+Of+The+People's+Republic+Of+Albania+Concerning+Water+Economy+Questions+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3dpRVaD2LImesgG42YHIAg,Yes,,,,,Not Yet Assigned,100,Secretariat not yet identified,NA,NA,NA,NA,NA,,,Fisheries | Water,NA,NA,NA,NA,NA,NA,NA,Protocol,Amendment,,Frontiers,,,
