"manyID","Title","Beg","Signature","Force","destaID","labptaID","trendID","treatyID","url","alt.url","Remarks","Language"
"BFA-GHA[UVT]_1961A","Ghana Upper Volta Trade Agreement1961","1961-01-01","1961-01-01","1961-01-01","460","#N/A","460","BFA-GHA[UVT]_1961A","""https://www.wto.org/gatt_docs/English/SULPDF/90750288.pdf""",NA,"",""
"EQCUCA_1961O","Equatorial Customs Union Cameroon Accession1961","1961-01-01","1961-01-01","1961-01-01","#N/A","#N/A","422+1","EQCUCA_1961O","""https://www.wto.org/gatt_docs/English/SULPDF/90760372.pdf""",NA,"",""
"IRQ-SYR[SYR]_1961O:IRQ-SYR[SYR]_1961O","Iraq Syria","1961-01-01","1961-01-01","#N/A","753","#N/A","#N/A","IRQ-SYR[SYR]_1961O:IRQ-SYR[SYR]_1961O",NA,NA,"",""
"AFRCCM_1962O","African Common Market1962","1962-01-01","1962-01-01","1962-01-01","2","#N/A","2","AFRCCM_1962O","""https://www.wto.org/gatt_docs/English/SULPDF/90760013.pdf""",NA,"",""
"JOR-SAU[SDA]_1962O","Jordan Saudi Arabia1962","1962-01-01","1962-01-01","1962-01-01","533","#N/A","533","JOR-SAU[SDA]_1962O",NA,"""http://extwprlegs1.fao.org/docs/pdf/jor62835.pdf""","","Arabic"
"ARBCMM_1962O","Arab Common Market","1962-01-01","1962-01-01","1964-01-01","29","#N/A","29","ARBCMM_1962O","""https://www.wto.org/gatt_docs/English/SULPDF/90780034.pdf""",NA,"",""
"SEN-TUN[NA]_1962O","Senegal Tunisia","1962-01-01","1962-01-01","#N/A","776","#N/A","#N/A","SEN-TUN[NA]_1962O",NA,NA,"",""
"ECTRKA_1963A","EC Turkey Association Agreement (Ankara Agreement)1963","1963-01-01","1963-01-01","1963-01-01","357","#N/A","357","ECTRKA_1963A","""https://eur-lex.europa.eu/resource.html?uri=cellar:f8e2f9f4-75c8-4f62-ae3f-b86ca5842eee.0008.02/DOC_2&format=PDF""",NA,"",""
"FRA-MCO[NA]_1963O","France Monaco1963","1963-01-01","1963-01-01","1963-01-01","452","#N/A","452","FRA-MCO[NA]_1963O","""https://www.legimonaco.mc/305/legismclois.nsf/db3b0488a44ebcf9c12574c7002a8e84/04140c3c6347e5fac1257c5a002f1867!OpenDocument&Highlight=0,3.038""",NA,"",""
"YAOUND_1963O1:YAOUND_1963O1","Yaounde 1","1963-01-01","1963-01-01","1964-01-01","689","#N/A","689","YAOUND_1963O1:YAOUND_1963O1",NA,"""https://www.cvce.eu/en/obj/la_convention_de_yaounde_20_juillet_1963-fr-52d35693-845a-49ae-b6f9-ddbc48276546.html""","",""
"MAR-SEN[NA]_1963O","Morocco Senegal1963","1963-01-01","1963-01-01","1963-01-01","769","#N/A","769","MAR-SEN[NA]_1963O",NA,NA,"",""
"CNACEU_1964O","Central African Customs And Economic Union (UDEAC)1964","1964-01-01","1964-01-01","1964-01-01","182","#N/A","182","CNACEU_1964O",NA,NA,"",""
"ZAF-ZWE[NA]_1964O:ZAF-ZWE[NA]_1964O","South Africa Zimbabwe1964","1964-01-01","1964-01-01","1964-01-01","664","#N/A","664","ZAF-ZWE[NA]_1964O","""https://www.sars.gov.za/wp-content/uploads/Legal/Agreements/LAPD-IntA-TradeA-2012-01-Trade-Agreement-RSA-Southern-Rhodesia-now-Zimbabwe-1-December-1964.pdf""",NA,"",""
"MRT-TUN[NA]_1964O","Mauritania Tunisia","1964-01-01","1964-01-01","#N/A","765","#N/A","#N/A","MRT-TUN[NA]_1964O",NA,NA,"",""
"CAN-USA[APT]_1965A","Canada US Automotive Products Trade Agreement (APTA)1965","1965-01-01","1965-01-01","1965-01-01","170","#N/A","170","CAN-USA[APT]_1965A",NA,NA,"",""
"CRBFTA_1965O:CRBFTA_1965O","Caribbean Free Trade Association (CARIFTA)1965","1965-01-01","1965-01-01","1965-01-01","179","#N/A","179","CRBFTA_1965O:CRBFTA_1965O","""http://www.sice.oas.org/Trade/CCME/dikson.asp""",NA,"",""
"GBR-IRL[FTA]_1965O","Ireland UK Free Trade Area1965","1965-01-01","1965-01-01","1965-01-01","505","#N/A","505","GBR-IRL[FTA]_1965O",NA,NA,"",""
"JOR-SYR[SYR]_1965O:JOR-SYR[SYR]_1965O","Jordan Syria1965","1965-01-01","1965-01-01","1965-01-01","538","#N/A","538","JOR-SYR[SYR]_1965O:JOR-SYR[SYR]_1965O",NA,NA,"",""
"AUS-NZL[FRT]_1965A","Australia New Zealand Free Trade Agreement1965","1965-01-01","1965-01-01","1965-01-01","79","#N/A","79","AUS-NZL[FRT]_1965A","""http://www.nzlii.org/nz/legis/hist_act/nzaftaa19651965n46388.pdf""",NA,"",""
"JOR-SDN[SDN]_1966O:JOR-SDN[SDN]_1966O","Jordan Sudan1966","1966-01-01","1966-01-01","1966-01-01","536","#N/A","536","JOR-SDN[SDN]_1966O:JOR-SDN[SDN]_1966O",NA,NA,"",""
"MAR-SAU[SDA]_1966O","Morocco Saudi Arabia1966","1966-01-01","1966-01-01","1966-01-01","768","#N/A","768","MAR-SAU[SDA]_1966O",NA,NA,"",""
"CEUWAS_1966O","Customs And Economic Union Of West African States (UDEAO)","1966-01-01","1966-01-01","1966-01-01","726","#N/A","#N/A","CEUWAS_1966O",NA,NA,"",""
"ESTAFC_1966O:ESTAFC_1966O","East African Community (EAC)","1966-01-01","1966-01-01","1966-01-01","901","#N/A","#N/A","ESTAFC_1966O:ESTAFC_1966O","""https://www.eacj.org//wp-content/uploads/2012/08/EACJ-Treaty.pdf""","""https://investmentpolicy.unctad.org/international-investment-agreements/treaty-files/2487/download""","",""
"EGY-JOR[NA]_1967O:EGY-JOR[NA]_1967O","Egypt Jordan 1967","1967-01-01","1967-01-01","1967-01-01","406","#N/A","406","EGY-JOR[NA]_1967O:EGY-JOR[NA]_1967O",NA,NA,"",""
"TRPRTT_1967A","Tripartite Agreement1967","1967-01-01","1967-01-01","1967-01-01","682","#N/A","682","TRPRTT_1967A",NA,NA,"",""
"KENNDY_1967P","Kennedy Protocols1967","1967-01-01","1967-01-01","1967-01-01","#N/A","#N/A","9001","KENNDY_1967P","""https://www.wto.org/english/docs_e/legal_e/kennedy_e.pdf""",NA,"",""
"IRQ-LBN[NA]_1967O:IRQ-LBN[NA]_1967O","Iraq Lebanon","1967-01-01","1967-01-01","#N/A","501","#N/A","#N/A","IRQ-LBN[NA]_1967O:IRQ-LBN[NA]_1967O",NA,NA,"",""
"MWI-ZAF[NA]_1967A","Malawi South Africa","1967-01-01","1967-01-01","#N/A","596","#N/A","#N/A","MWI-ZAF[NA]_1967A",NA,NA,"",""
"CRBFTA_1968O:CRBFTA_1965O","Caribbean Free Trade Association (CARIFTA)1968","1968-01-01","1968-01-01","1968-01-01","#N/A","#N/A","180","CRBFTA_1968O:CRBFTA_1965O",NA,"""https://www.cambridge.org/core/journals/international-legal-materials/article/abs/agreement-establishing-the-caribbean-free-trade-association-carifta/BFDA8F7632511227B5A6149517E54F11""","",""
"ESTCCM_1968O","East Caribbean Common Market1968","1968-01-01","1968-01-01","1968-01-01","788","#N/A","788","ESTCCM_1968O",NA,NA,"",""
"ARUSHA_1968A1:ARUSHA_1968A1","Arusha Agreement 1","1968-01-01","1968-01-01","1971-01-01","700","#N/A","700","ARUSHA_1968A1:ARUSHA_1968A1",NA,NA,"",""
"ANDNGC_1969A","Andean Group Cartagena Agreement1969","1969-01-01","1969-01-01","1969-01-01","26","#N/A","26","ANDNGC_1969A","""https://edit.wti.org/app.php/document/show/pdf/cc6a9d7a-c87f-4004-b2cd-154551570c14""",NA,"",""
"ECMRCA_1969A","EC Morocco Association Agreement1969","1969-01-01","1969-01-01","1969-01-01","333","#N/A","333","ECMRCA_1969A","""https://docs.wto.org/gattdocs/q/GG/L3799/3227.PDF""",NA,"",""
"ECTNSA_1969A","EC Tunisia Association Agreement1969","1969-01-01","1969-01-01","1969-01-01","353","#N/A","353","ECTNSA_1969A","""https://docs.wto.org/gattdocs/q/GG/L3799/3226.PDF""",NA,"",""
"EFTICA_1969O","EFTA Iceland Accession1969","1969-01-01","1969-01-01","1969-01-01","#N/A","#N/A","375+1","EFTICA_1969O",NA,NA,"",""
"STHACU_1969O:STHACU_1969O","Southern Africa Customs Union (SACU)1969","1969-01-01","1969-01-01","1969-01-01","669","#N/A","669","STHACU_1969O:STHACU_1969O","""https://www.sacu.int/docs/agreements/1969/1969-agreement.html""",NA,"",""
"ARUSHA_1969A2:ARUSHA_1968A1","Arusha Agreement 2","1969-01-01","1969-01-01","1971-01-01","61","#N/A","61","ARUSHA_1969A2:ARUSHA_1968A1","""https://www.wto.org/gatt_docs/English/SULPDF/90830169.pdf""",NA,"",""
"YAOUND_1969O2:YAOUND_1963O1","Yaounde 2","1969-01-01","1969-01-01","1971-01-01","690","#N/A","690","YAOUND_1969O2:YAOUND_1963O1",NA,"""http://www.acp.int/printpdf/150""","","French"
"LBN-SDN[SDN]_1969O","Lebanon Sudan","1969-01-01","1969-01-01","#N/A","759","#N/A","#N/A","LBN-SDN[SDN]_1969O",NA,NA,"",""
"ECISRL_1970O:ECISRL_1970O","EC Israel1970","1970-01-01","1970-01-01","1970-01-01","314","#N/A","314","ECISRL_1970O:ECISRL_1970O","""https://docs.wto.org/gattdocs/q/GG/L3799/3428.PDF""",NA,"",""
"ECMALT_1970O","EC Malta1970","1970-01-01","1970-01-01","1970-01-01","329","#N/A","329","ECMALT_1970O","""https://wits.worldbank.org/GPTAD/PDF/archive/EC-Malta(English).pdf""",NA,"",""
"ECSPAN_1970O","EC Spain1970","1970-01-01","1970-01-01","1970-01-01","348","#N/A","348","ECSPAN_1970O","""https://docs.wto.org/gattdocs/q/GG/L3799/3427.PDF""",NA,"",""
"ECTRKA_1970P","EC Turkey Additional Protocol1970","1970-01-01","1970-01-01","1970-01-01","357","#N/A","356","ECTRKA_1970P","""https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:21970A1123(01)&from=EN""",NA,"",""
"ECOVCT_1970O","EC Overseas Countries And Territories (OCT)","1970-01-01","1970-01-01","1971-01-01","985","#N/A","#N/A","ECOVCT_1970O","""https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32013D0755&from=ES""","""https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32013D0755&from=ES""","",""
"LBN-SAU[SDA]_1971O:LBN-SAU[SDA]_1957O","Lebanon Saudi Arabia","1971-01-01","1971-01-01","#N/A","758","#N/A","#N/A","LBN-SAU[SDA]_1971O:LBN-SAU[SDA]_1957O",NA,NA,"",""
"ECEGYP_1972A","EC Egypt Agreement1972","1972-01-01","1972-01-01","1972-01-01","303","#N/A","303","ECEGYP_1972A",NA,NA,"",""
"ECLBNN_1972O:ECLBNN_1972O","EC Lebanon1972","1972-01-01","1972-01-01","1972-01-01","321","#N/A","321","ECLBNN_1972O:ECLBNN_1972O",NA,NA,"",""
